질문번호,질문,답변1,답변2,답변3,답변항목 설명
q18_1,"18. 귀하는 2030년 수원이 어떠한 모습의 도시가 되기를 기대하십니까? 
(1순위)","1 (488.2명, 28.7%)","3 (395.2명, 23.2%)","2 (219.1명, 12.9%)","① 경제도시 			
② 교육도시
③ 문화도시			
④ 복지(돌봄)도시
⑤ 건강도시			
⑥ 안전도시
⑦ 환경도시			
⑧ 스마트도시
⑨ 스포츠도시		
⑩ 첨단교통도시
⑪ 관광도시			
⑫ 기타 (            )"
q18_1_op,,"문화도시 (0.7명, 58.3%)","일자리가 없어요 (0.3명, 25.0%)","공존하는 도시 (0.2명, 16.7%)",
q18_2,"18. 귀하는 2030년 수원이 어떠한 모습의 도시가 되기를 기대하십니까? 
(2순위)","7 (257.9명, 15.1%)","6 (223.6명, 13.1%)","3 (220.3명, 12.9%)","① 경제도시 			
② 교육도시
③ 문화도시			
④ 복지(돌봄)도시
⑤ 건강도시			
⑥ 안전도시
⑦ 환경도시			
⑧ 스마트도시
⑨ 스포츠도시		
⑩ 첨단교통도시
⑪ 관광도시			
⑫ 기타 (            )"
q19,19. 현재 귀댁의 생활형편은 1년 전에 비해 좋아졌습니까? 나빠졌습니까? 혹은 비슷합니까?,"3 (781.7명, 45.9%)","2 (411.4명, 24.2%)","4 (318.1명, 18.7%)","① 많이 좋아졌다
② 조금 좋아졌다
③ 비슷하다
④ 조금 나빠졌다
⑤ 많이 나빠졌다"
q2,2. 귀하는 수원시의 시책이나 시정 운영에 대해 평소 관심이 있으십니까?,"5 (597.7명, 35.1%)","6 (408.1명, 24.0%)","4 (357.0명, 21.0%)","① 전혀 관심이 없다
②
③
④ 보통이다
⑤
⑥
⑦ 매우 관심 있다"
q20,"20. 현재 귀댁의 생활형편은 1년 후에 현재 보다 좋아질 것 같습니까, 나빠질 것 같습니까, 혹은 비슷할 것 같습니까?","3 (820.5명, 48.2%)","2 (425.3명, 25.0%)","4 (285.5명, 16.8%)","① 많이 좋아질 것이다
② 조금 좋아질것이다
③ 비슷할 것이다
④ 조금 나빠질것이다
⑤ 많이 나빠질 것이다"
q20_1,20-1. 귀댁의 생활형편이 좋아질것으로 생각하시는 가장 큰 이유는 무엇입니까? ,"1 (164.2명, 31.4%)","2 (124.9명, 23.8%)","3 (77.4명, 14.8%)","① 임금 등의 가계 소득 증가
② 부동산, 주식 등 보유자산의 가치 상승
③ 은행대출, 현금서비스, 외상구매대금 등의 가계부채 감소
④ 물가 안정
⑤ 이직, 창업 등 수입구조 개선
⑥ 지출비용 감소 예정
⑦ 막연한 기대감
⑧ 기타 (                       )"
q20_1_op,,"하나님의 도우심 (4.2명, 72.4%)","투자 수익 증대 (1.3명, 22.4%)","이유 없음 (0.3명, 5.2%)",
q20_2,20-2. 귀댁의 생활형편이 나빠질것으로 생각하시는 가장 큰 이유는 무엇입니까? ,"4 (95.6명, 26.6%)","1 (69.0명, 19.2%)","3 (52.5명, 14.6%)","① 임금 등의 가계 소득 감소
② 부동산, 주식 등 보유자산의 가치 하락
③ 은행대출, 현금서비스, 외상구매대금 등의 가계부채 증가
④ 물가 상승
⑤ 퇴사, 폐업 등 수입구조 악화
⑥ 지출비용 증가 예정
⑦ 경기 불황
⑧ 기타 (                       )"
q20_2_op,,"정치불안정 (2.1명, 27.6%)","의료비 증가 (1.2명, 15.8%)","아파트대출. 자녀의장애 (0.9명, 11.8%)",
q21,"21. 일반 물가는 1년전보다 더 오를 것 같습니까, 덜 오를 것 같습니까, 혹은 비슷하게 오를 것 같습니까?","2 (679.8명, 39.9%)","3 (456.9명, 26.8%)","1 (429.0명, 25.2%)","① 1년 전보다 많이 오를 것이다
② 1년 전보다 조금 오를 것이다
③ 비슷하게 오를 것이다
④ 1년 전보다 조금 덜 오를 것이다
⑤ 1년 전보다 많이 덜 오를 것이다"
q22,"22. 현재 귀댁의 소비지출은 지난 1년 전에 비해 더 늘었습니까, 더 줄었습니까, 혹은 비슷합니까?","3 (623.7명, 36.6%)","2 (612.8명, 36.0%)","4 (230.9명, 13.6%)","① 많이 늘었다
② 조금 늘었다
③ 비슷하다
④ 조금 줄었다
⑤ 많이 줄었다 "
q23_1,"23. 귀하께서 생각하시는 내년도 수원시민의 경제이슈는 무엇이라고 생각하십니까? 생각하시는 순서대로 3가지를 선택해 주십시오. 
(1순위)","3 (527.7명, 31.0%)","1 (336.4명, 19.7%)","2 (320.1명, 18.8%)","① 실업 및 고용 악화			
② 소득 양극화
③ 체감 물가 상승			
④ 가계부채 증가
⑤ 부동산 경기 악화			
⑥ 자영업자 등 소상공인 문제
⑦ 소비심리 및 내수경기 침체		
⑧ 공공요금 인상
⑨ 기타(                  )"
q23_1_op,,"장애인콜택시 통합으로 이용이 어려워짐 . (0.9명, 100.0%)",,,
q23_2,"23. 귀하께서 생각하시는 내년도 수원시민의 경제이슈는 무엇이라고 생각하십니까? 생각하시는 순서대로 3가지를 선택해 주십시오. 
(2순위)","3 (338.5명, 19.9%)","4 (258.6명, 15.2%)","2 (257.7명, 15.1%)","① 실업 및 고용 악화			
② 소득 양극화
③ 체감 물가 상승			
④ 가계부채 증가
⑤ 부동산 경기 악화			
⑥ 자영업자 등 소상공인 문제
⑦ 소비심리 및 내수경기 침체		
⑧ 공공요금 인상
⑨ 기타(                  )"
q23_2_op,,"구아파트 신축 활성화ㅡ 건설비 관리 감독 및 재건축 사업 추자 (1.2명, 100.0%)",,,
q24_1,"24. 귀하께서는 다음의 경제 이슈가 올해 대비 내년에 얼마나 개선될 것이라 예상하십니까? 각 항목별로 예상되는 개선 정도를 말씀해 주시기 바랍니다. 
_1.청년실업 및 고용","4 (827.5명, 48.6%)","3 (529.9명, 31.1%)","2 (198.7명, 11.7%)","① 매우 개선될 것이다
② 약간 개선될 것이다
③ 그대로일 것이다
④ 다소 악화될 것이다
⑤ 매우 악화될 것이다"
q24_10,"24. 귀하께서는 다음의 경제 이슈가 올해 대비 내년에 얼마나 개선될 것이라 예상하십니까? 각 항목별로 예상되는 개선 정도를 말씀해 주시기 바랍니다. 
_10.주식시장","4 (720.7명, 42.3%)","3 (490.2명, 28.8%)","5 (242.3명, 14.2%)","① 매우 개선될 것이다
② 약간 개선될 것이다
③ 그대로일 것이다
④ 다소 악화될 것이다
⑤ 매우 악화될 것이다"
q24_2,"24. 귀하께서는 다음의 경제 이슈가 올해 대비 내년에 얼마나 개선될 것이라 예상하십니까? 각 항목별로 예상되는 개선 정도를 말씀해 주시기 바랍니다. 
_2.생활물가","4 (875.1명, 51.4%)","3 (401.9명, 23.6%)","5 (249.8명, 14.7%)","① 매우 개선될 것이다
② 약간 개선될 것이다
③ 그대로일 것이다
④ 다소 악화될 것이다
⑤ 매우 악화될 것이다"
q24_3,"24. 귀하께서는 다음의 경제 이슈가 올해 대비 내년에 얼마나 개선될 것이라 예상하십니까? 각 항목별로 예상되는 개선 정도를 말씀해 주시기 바랍니다. 
_3.소비심리 및 내수경기","4 (863.2명, 50.7%)","3 (409.2명, 24.0%)","5 (234.2명, 13.7%)","① 매우 개선될 것이다
② 약간 개선될 것이다
③ 그대로일 것이다
④ 다소 악화될 것이다
⑤ 매우 악화될 것이다"
q24_4,"24. 귀하께서는 다음의 경제 이슈가 올해 대비 내년에 얼마나 개선될 것이라 예상하십니까? 각 항목별로 예상되는 개선 정도를 말씀해 주시기 바랍니다. 
_4.자영업자 등 소상공인 문제","4 (779.7명, 45.8%)","3 (444.3명, 26.1%)","5 (289.5명, 17.0%)","① 매우 개선될 것이다
② 약간 개선될 것이다
③ 그대로일 것이다
④ 다소 악화될 것이다
⑤ 매우 악화될 것이다"
q24_5,"24. 귀하께서는 다음의 경제 이슈가 올해 대비 내년에 얼마나 개선될 것이라 예상하십니까? 각 항목별로 예상되는 개선 정도를 말씀해 주시기 바랍니다. 
_5.가계소득","4 (782.1명, 45.9%)","3 (505.1명, 29.7%)","2 (201.0명, 11.8%)","① 매우 개선될 것이다
② 약간 개선될 것이다
③ 그대로일 것이다
④ 다소 악화될 것이다
⑤ 매우 악화될 것이다"
q24_6,"24. 귀하께서는 다음의 경제 이슈가 올해 대비 내년에 얼마나 개선될 것이라 예상하십니까? 각 항목별로 예상되는 개선 정도를 말씀해 주시기 바랍니다. 
_6.소득양극화","4 (820.4명, 48.2%)","3 (416.4명, 24.4%)","5 (291.0명, 17.1%)","① 매우 개선될 것이다
② 약간 개선될 것이다
③ 그대로일 것이다
④ 다소 악화될 것이다
⑤ 매우 악화될 것이다"
q24_7,"24. 귀하께서는 다음의 경제 이슈가 올해 대비 내년에 얼마나 개선될 것이라 예상하십니까? 각 항목별로 예상되는 개선 정도를 말씀해 주시기 바랍니다. 
_7.가계부채","4 (875.8명, 51.4%)","3 (406.2명, 23.8%)","5 (225.2명, 13.2%)","① 매우 개선될 것이다
② 약간 개선될 것이다
③ 그대로일 것이다
④ 다소 악화될 것이다
⑤ 매우 악화될 것이다"
q24_8,"24. 귀하께서는 다음의 경제 이슈가 올해 대비 내년에 얼마나 개선될 것이라 예상하십니까? 각 항목별로 예상되는 개선 정도를 말씀해 주시기 바랍니다. 
_8.부동산 경기","4 (767.8명, 45.1%)","3 (472.5명, 27.7%)","5 (217.6명, 12.8%)","① 매우 개선될 것이다
② 약간 개선될 것이다
③ 그대로일 것이다
④ 다소 악화될 것이다
⑤ 매우 악화될 것이다"
q24_9,"24. 귀하께서는 다음의 경제 이슈가 올해 대비 내년에 얼마나 개선될 것이라 예상하십니까? 각 항목별로 예상되는 개선 정도를 말씀해 주시기 바랍니다. 
_9.저출산 및 고령화 문제","4 (698.9명, 41.0%)","5 (379.1명, 22.3%)","3 (348.6명, 20.5%)","① 매우 개선될 것이다
② 약간 개선될 것이다
③ 그대로일 것이다
④ 다소 악화될 것이다
⑤ 매우 악화될 것이다"
q3,3. 귀하는 수원시가 시민들을 위해 추진하고 있는 정책 전반에 대해 얼마나 만족하십니까? ,"5 (584.4명, 34.3%)","6 (416.3명, 24.4%)","4 (401.5명, 23.6%)","① 전혀 만족하지 못한다
②
③
④ 보통이다
⑤
⑥
⑦ 매우 만족한다"
q3_1_1,"3-1. 수원시 시정운영에 만족하시는 경우, 그 이유는 무엇입니까? 3가지를 중요한 순서대로 선택해 주십시오. (1순위)","2 (488.1명, 43.9%)","1 (246.6명, 22.2%)","3 (112.8명, 10.1%)","① 새롭고 과감한 시도, 참신한 정책·사업들이 많아서
② 시민과의 소통, 홍보를 잘 하는 것 같아서
③ 수원특례시 현안에 대한 이해가 깊은 것 같아서
④ 추진력 있고 강단 있게 일하는 것 같아서
⑤ 정부, 경기도, 타지자체와의 협력을 잘하는 것 같아서
⑥ 평소 태도나 행동 등에서 신뢰감이 느껴져서
⑦ 무언가 계획을 갖고 일하는 느낌이어서
⑧ 열심히 일하는 것 같아서
⑨ 잘 모르겠다"
q3_1_2,"3-1. 수원시 시정운영에 만족하시는 경우, 그 이유는 무엇입니까? 3가지를 중요한 순서대로 선택해 주십시오. (2순위)","2 (212.7명, 19.2%)","3 (196.1명, 17.7%)","4 (193.9명, 17.5%)","① 새롭고 과감한 시도, 참신한 정책·사업들이 많아서
② 시민과의 소통, 홍보를 잘 하는 것 같아서
③ 수원특례시 현안에 대한 이해가 깊은 것 같아서
④ 추진력 있고 강단 있게 일하는 것 같아서
⑤ 정부, 경기도, 타지자체와의 협력을 잘하는 것 같아서
⑥ 평소 태도나 행동 등에서 신뢰감이 느껴져서
⑦ 무언가 계획을 갖고 일하는 느낌이어서
⑧ 열심히 일하는 것 같아서
⑨ 잘 모르겠다"
q3_1_3,"3-1. 수원시 시정운영에 만족하시는 경우, 그 이유는 무엇입니까? 3가지를 중요한 순서대로 선택해 주십시오. (3순위)","7 (169.6명, 15.3%)","5 (167.5명, 15.1%)","3 (159.4명, 14.4%)","① 새롭고 과감한 시도, 참신한 정책·사업들이 많아서
② 시민과의 소통, 홍보를 잘 하는 것 같아서
③ 수원특례시 현안에 대한 이해가 깊은 것 같아서
④ 추진력 있고 강단 있게 일하는 것 같아서
⑤ 정부, 경기도, 타지자체와의 협력을 잘하는 것 같아서
⑥ 평소 태도나 행동 등에서 신뢰감이 느껴져서
⑦ 무언가 계획을 갖고 일하는 느낌이어서
⑧ 열심히 일하는 것 같아서
⑨ 잘 모르겠다"
q4,"4. 민선8기 이재준 시장 취임 당시 가졌던 기대감과 현재 수원시정의 성과를 비교할 때, 취임당시 기대감 대비 현재 성과는 어떻습니까?","2 (559.4명, 32.8%)","1 (503.7명, 29.6%)","3 (421.0명, 24.7%)","① 잘 할 것이라 기대했고, 기대한 만큼 대체로 잘 한다
② 별로 기대하지 않았는데, 기대 이상으로 잘 한다
③ 잘 할 것이라 기대했는데, 대체로 기대에 못 미친다
④ 별로 기대하지 않았고, 역시 잘 못한다
⑤ 잘 모르겠다"
