질문번호,질문내용,답변,응답 수
q5_2,"5-2. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까?
_2. 정책의 이념적 지향",4.0,512
q5_2,"5-2. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까?
_2. 정책의 이념적 지향",6.0,368
q5_2,"5-2. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까?
_2. 정책의 이념적 지향",3.0,167
q5_2,"5-2. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까?
_2. 정책의 이념적 지향",7.0,123
q5_2,"5-2. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까?
_2. 정책의 이념적 지향",2.0,59
q5_2,"5-2. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까?
_2. 정책의 이념적 지향",1.0,19
q5_3,"5-3. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까?
_3. 정책목표의 달성도",5.0,534
q5_3,"5-3. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까?
_3. 정책목표의 달성도",4.0,482
q5_3,"5-3. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까?
_3. 정책목표의 달성도",6.0,386
q5_3,"5-3. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까?
_3. 정책목표의 달성도",3.0,194
q5_3,"5-3. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까?
_3. 정책목표의 달성도",7.0,125
q5_3,"5-3. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까?
_3. 정책목표의 달성도",2.0,47
q5_3,"5-3. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까?
_3. 정책목표의 달성도",1.0,13
q5_4,"5-4. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까?
_4. 정책수혜집단의 만족도",4.0,521
